"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
">ASV132"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	NA
">ASV133"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"
">ASV134"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV135"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Pedosphaerales"	"Pedosphaeraceae"	"ADurb.Bin063-1"
">ASV136"	"Bacteria"	"Acidobacteria"	"Blastocatellia_(Subgroup_4)"	"Pyrinomonadales"	"Pyrinomonadaceae"	"RB41"
">ASV137"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
">ASV138"	"Bacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Oxyphotobacteria_Incertae_Sedis"	"Unknown_Family"	"Leptolyngbya_EcFYyyy-00"
">ASV139"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
">ASV140"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	NA
">ASV141"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"
">ASV142"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"SBR1031"	NA	NA
">ASV143"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Subgroup_7"	NA	NA
">ASV144"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	NA
">ASV145"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV146"	"Archaea"	"Thaumarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	NA
">ASV147"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"KF-JG30-B3"	NA
">ASV148"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	NA
">ASV149"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Dongiales"	"Dongiaceae"	"Dongia"
">ASV150"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	NA	NA
">ASV151"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
">ASV152"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Terrimonas"
">ASV153"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	NA	NA
">ASV154"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
">ASV155"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
">ASV156"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Kribbella"
">ASV157"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
">ASV158"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
">ASV159"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"
">ASV160"	"Bacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Chloroplast"	NA	NA
">ASV161"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"
">ASV162"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"bacteriap25"	NA
">ASV163"	"Bacteria"	"Rokubacteria"	"NC10"	"Rokubacteriales"	NA	NA
">ASV164"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
">ASV165"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
">ASV166"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Subgroup_2"	NA	NA
">ASV167"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Caenimonas"
">ASV168"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_Incertae_Sedis"	"Unknown_Family"	"Acidibacter"
">ASV169"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
">ASV170"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Ellin6055"
">ASV171"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"A21b"	NA
">ASV172"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	NA
">ASV173"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
">ASV174"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"SBR1031"	NA	NA
">ASV175"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Pedomicrobium"
">ASV176"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Subgroup_2"	NA	NA
">ASV177"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
